text,label
NASA confirms water on Mars,real
Aliens spotted by villagers in South India,fake
Government launches new health insurance scheme,real
Actor claims COVID vaccine turns people into zombies,fake
Scientists discover new species in the Amazon rainforest,real
Man claims to time travel using a microwave,fake
Apple announces new iPhone with holographic display,real
Politician says eating ice cream prevents global warming,fake
New study reveals benefits of meditation on brain health,real
Fake news website reports celebrity's fake death,fake
University researchers develop cure for common cold,real
Article claims 5G towers cause mind control,fake
Doctors warn against viral TikTok health trend,real
Website falsely claims end of the world is near,fake
Government approves scheme for youth entrepreneurship,real
